Prop0 Cog6 ok
test
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        0               3                       3
        1               3                       3
        2               3                       3
        3               3                       3
        4               4                       4
        5               5                       5
        6               6                       6
        7               7                       7
        8               8                       7
        9               9                       9
        10              10                      9
        11              10                      11
        12              12                      11
        13              12                      12
        14              14                      13

        119             111                     112
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        120             113                     114
        121             113                     114
        122             114                     116
        123             115                     116
        124             116                     117
        125             117                     118
        126             118                     119
        127             119                     120
        128             120                     121
        129             121                     122
        130             122                     123

        568             566                     571
        569             567                     572
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        570             568                     573
        571             570                     574
        572             570                     574
        573             572                     576
        574             572                     577

        779             773                     780
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        780             774                     782
        781             775                     783
        782             776                     784
        783             777                     784
        784             778                     786
        785             779                     788

        2666            2660                    2672
        2667            2662                    2672
        2668            2663                    2672
        2669            2664                    2675
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        2670            2664                    2675
        2671            2665                    2675
        2672            2666                    2678
        2673            2667                    2678
        2674            2668                    2679

        2909            2906                    2916
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        2910            2906                    2918
        2911            2907                    2919
        2912            2909                    2919
        2913            2910                    2920
        2914            2911                    2921
        2915            2911                    2923
        2916            2912                    2923
        2917            2913                    2924

        3089            3087                    3098
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        3090            3088                    3099
        3091            3087                    3100
        3092            3090                    3102
        3093            3091                    3102
        3094            3092                    3102
        3095            3093                    3104

        3237            3235                    3248
        3238            3236                    3248
        3239            3238                    3249
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        3240            3239                    3249
        3241            3240                    3251
        3242            3241                    3251
        3243            3242                    3252
        3244            3243                    3255
        3245            3243                    3254

        3774            3771                    3783
        3775            3772                    3784
        3776            3772                    3785
        3777            3774                    3787
        3778            3774                    3788
        3779            3776                    3790
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        3780            3776                    3790
        3781            3777                    3791
        3782            3779                    3791
        3783            3779                    3792

        4078            4069                    4077
        4079            4070                    4078
D/A output      A/D-Converter(MCP3204)  A/D-Converter(MCP3204)asm
        4080            4070                    4078
        4081            4071                    4079
        4082            4072                    4080
        4083            4073                    4079
        4084            4074                    4080
        4085            4075                    4080
        4086            4076                    4080
        4087            4077                    4081
        4088            4077                    4081
        4089            4079                    4081
        4090            4079                    4083
        4091            4080                    4083
        4092            4081                    4083
        4093            4082                    4083
        4094            4083                    4084
        4095            4084                    4084
Prop0 Cog6 ok
