


Prop0 Cog6 ok
demo

P-part  I-part  d-part  pwm-value     Encoder-count
  |       |       |        |            |
300300  200200  100100  800000  0
300300  0       -100100         800000  0
299400  -600    -300    800000  0
299100  -200    200     800000  5
297600  -1000   -400    800000  14
295800  -1200   -100    800000  16
293400  -1600   -200    800000  24
292800  -400    600     800000  30
290400  -1600   -600    800000  37
288600  -1200   200     800000  40
287100  -1000   100     800000  48
284400  -1800   -400    800000  54
284100  -200    800     800000  55
283500  -400    -100    800000  60
282000  -1000   -300    800000  66
280200  -1200   -100    800000  66
279600  -400    400     800000  76
276900  -1800   -700    800000  78
276300  -400    700     800000  82
274800  -1000   -300    800000  87
273300  -1000   0       800000  90
273000  -200    400     800000  91
271500  -1000   -400    800000  96
270900  -400    300     800000  97
269100  -1200   -400    800000  106
267600  -1000   100     800000  109
265800  -1200   -100    800000  112
265200  -400    400     800000  122
262800  -1600   -600    800000  126
262800  0       800     800000  130
261000  -1200   -600    800000  138
258600  -1600   -200    800000  140
257100  -1000   300     800000  144
255000  -1400   -200    800000  156
253200  -1200   100     800000  155
252600  -400    400     800000  160
252000  -400    0       800000  164
249000  -2000   -800    800000  170
248400  -400    800     800000  182
244200  -2800   -1200   800000  184
244800  400     1600    800000  182
244800  0       -200    800000  188
243600  -800    -400    800000  194
241200  -1600   -400    800000  200
240000  -800    400     800000  203
239400  -400    200     800000  208
237000  -1600   -600    800000  212
235800  -800    400     800000  221
234000  -1200   -200    800000  224
231600  -1600   -200    800000  234
229200  -1600   0       800000  234
229200  0       800     800000  240
227100  -1400   -700    800000  246
225600  -1000   200     800000  250
224400  -800    100     800000  253
223500  -600    100     800000  258
221400  -1400   -400    800000  262
220200  -800    300     800000  268
217800  -1600   -400    800000  272
217800  0       800     800000  276
215400  -1600   -800    800000  286
215400  0       800     800000  288
211800  -2400   -1200   800000  299
210600  -800    800     800000  300
208800  -1200   -200    800000  302
209100  200     700     800000  304
208200  -600    -400    800000  307
208200  0       300     800000  308
206700  -1000   -500    800000  308
206700  0       500     800000  312
206400  -200    -100    800000  320
204000  -1600   -700    800000  324
202200  -1200   200     800000  322
202800  400     800     800000  326
201000  -1200   -800    800000  331
200400  -400    400     800000  334
198900  -1000   -300    800000  336
198600  -200    400     800000  338
198000  -400    -100    800000  340
197400  -400    0       800000  344
196500  -600    -100    800000  348
196200  -200    200     800000  348
195000  -800    -300    800000  352
195000  0       400     800000  354
193200  -1200   -600    800000  360
191400  -1200   0       800000  363
190500  -600    300     800000  366
189000  -1000   -200    800000  372
187200  -1200   -100    800000  374
187200  0       600     800000  378
185400  -1200   -600    800000  382
184800  -400    400     800000  382
184500  -200    100     800000  384
183000  -1000   -400    800000  388
183000  0       500     800000  390
181800  -800    -400    800000  400
178200  -2400   -800    800000  408
176700  -1000   700     800000  417
174600  -1400   -200    800000  417
174600  0       700     800000  421
173400  -800    -400    800000  426
171600  -1200   -200    800000  428
171000  -400    400     800000  436
168600  -1600   -600    800000  442
166800  -1200   200     800000  448
165600  -800    200     800000  454
163800  -1200   -200    800000  458
162600  -800    200     800000  465
158700  -2600   -900    800000  476
157500  -800    900     800000  477
156900  -400    200     800000  483
155100  -1200   -400    800000  487
154800  -200    500     800000  490
152400  -1600   -700    800000  496
150600  -1200   200     800000  500
149400  -800    200     800000  506
147600  -1200   -200    800000  514
146400  -800    200     800000  515
146400  0       400     800000  511
146400  0       0       800000  514
145800  -400    -200    800000  518
144900  -600    -100    800000  522
142800  -1400   -400    800000  526
141600  -800    300     800000  529
140400  -800    0       800000  533
139800  -400    200     800000  534
139200  -400    0       800000  538
137700  -1000   -300    800000  544
135000  -1800   -400    800000  554
133200  -1200   300     800000  557
132600  -400    400     800000  561
132600  0       200     800000  564
130800  -1200   -600    800000  567
130200  -400    400     800000  572
126900  -2200   -900    800000  577
127200  200     1200    800000  576
126000  -800    -500    800000  583
123900  -1400   -300    800000  586
123600  -200    600     800000  586
123600  0       100     800000  594
121800  -1200   -600    800000  596
121200  -400    400     800000  597
120600  -400    0       800000  602
117600  -2000   -800    800000  610
115200  -1600   200     800000  622
111600  -2400   -400    800000  628
111600  0       1200    800000  630
110700  -600    -300    800000  628
110400  -200    200     800000  632
109200  -800    -300    800000  636
108000  -800    0       800000  642
108000  0       400     800000  638
107700  -200    -100    800000  642
105600  -1400   -600    800000  652
104400  -800    300     800000  656
102000  -1600   -400    800000  664
99600   -1600   0       800000  668
98400   -800    400     800000  676
96000   -1600   -400    800000  682
94200   -1200   200     800000  688
93000   -800    200     800000  692
91200   -1200   -200    800000  700
89400   -1200   0       800000  704
88800   -400    400     800000  707
88200   -400    0       800000  710
87000   -800    -200    800000  714
85500   -1000   -100    800000  714
85200   -200    400     800000  714
84900   -200    0       800000  718
84300   -400    -100    800000  722
82800   -1000   -300    800000  728
81600   -800    100     800000  734
78600   -2000   -600    800000  740
76800   -1200   400     800000  746
76200   -400    400     800000  752
73200   -2000   -800    800000  756
73500   200     1100    800000  758
71400   -1400   -800    800000  764
70800   -400    500     800000  764
70200   -400    0       800000  772
66600   -2400   -1000   800000  779
66600   0       1200    800000  780
65100   -1000   -500    800000  782
64200   -600    200     800000  788
63000   -800    -100    800000  792
61200   -1200   -200    800000  796
60600   -400    400     800000  802
59400   -800    -200    800000  806
57600   -1200   -200    800000  810
56400   -800    200     800000  814
55200   -800    0       800000  814
55800   400     600     800000  816
55200   -400    -400    800000  823
52500   -1800   -700    800000  832
48600   -2600   -400    800000  838
48600   0       1300    800000  839
48000   -400    -200    800000  838
47100   -600    -100    800000  842
46800   -200    200     800000  846
45600   -800    -300    800000  852
44400   -800    0       800000  854
42900   -1000   -100    800000  863
41400   -1000   0       800000  868
40200   -800    100     800000  870
37800   -1600   -400    800000  877
36300   -1000   300     800000  879
35400   -600    200     800000  880
35400   0       300     800000  882
34800   -400    -200    800000  886
