ServoDMN29BM36G-005
12P/R(Pulse/Rotation)
Typ74R/M(Rotation/Minute)
Reduction gear 50:1
MotorPowerÅ@24V
EncoderPower 5V
rpm=60sec/T*600=8000000/T
T is 1cycle time for phaseA.


Prop0 Cog6 ok
demo
sum of PID
  |     pwm value
  |      |     position
  |      |      |      rpm
  |      |      |       |
1530000 800000  0       -1
867450 800000   12      44
887840 800000   36      67
878130 800000   65      75
868270 800000   97      82
857980 800000   131     85
847590 800000   165     84
836890 800000   200     88
826400 800000   235     86
815900 800000   270     86
805400 800000   305     85
795410 800000   339     86
784690 800000   374     88
774200 800000   409     86
763700 800000   444     88
753200 800000   479     86
742700 800000   514     88
732200 800000   549     85
721700 800000   584     88
711200 800000   619     86
700700 800000   654     86
690200 800000   689     85
679700 800000   724     86
669200 800000   759     86
658700 800000   794     86
648200 800000   829     88
637700 800000   864     86
627200 800000   899     88
616700 800000   934     85
606200 800000   969     88
595700 800000   1004    86
585200 800000   1039    88
574700 800000   1074    85
564200 800000   1109    86
553700 800000   1144    86
543200 800000   1178    86
533210 800000   1213    88
522490 800000   1248    86
512000 800000   1283    87
501500 800000   1318    85
491000 800000   1353    88
480500 800000   1388    86
470000 800000   1423    87
459500 800000   1458    85
449000 800000   1493    86
438500 800000   1527    86
428510 800000   1562    86
417790 800000   1597    88
407300 800000   1632    86
396800 800000   1667    87
386300 800000   1702    86
375800 800000   1737    88
365300 800000   1772    86
354800 800000   1807    87
344300 800000   1842    85
333800 800000   1877    86
323300 800000   1912    86
312800 800000   1947    86
302300 800000   1981    88
291800 800000   2016    86
281300 800000   2051    88
270800 800000   2086    86
260810 800000   2121    88
250090 800000   2156    86
239600 800000   2191    87
229100 800000   2226    85
218600 800000   2261    86
208100 800000   2296    86
197600 800000   2331    86
187100 800000   2366    88
176600 800000   2401    86
166100 800000   2436    88
155600 800000   2471    86
145100 800000   2506    88
134600 800000   2541    86
124610 800000   2575    88
113890 800000   2610    85
103400 800000   2645    86
92900 800000    2680    86
82400 800000    2714    86
71900 800000    2749    88
61400 800000    2784    86
50900 800000    2819    88
40400 800000    2854    86
29900 800000    2889    88
19400 800000    2924    86
8900 712000     2958    88
-1600 128000    2993    64
-6490 519200    3010    32
-4110 328800    3009    32
1340 107200     2999    26
1350 108000     2997    26
560 50000       2999    5
-420 50000      3001    5
-490 50000      3001    5
220 0   3000    5
-10 0   3000    5
0 0     3000    5
0 0     3000    5
0 0     3000    5
0 0     3000    5
0 0     3000    5
0 0     3000    5
0 0     3000    5
0 0     3000    5
-1464000 800000         3000    5
-692340 800000  2988    44
-706060 800000  2965    67
-695930 800000  2936    75
-685460 800000  2904    82
-674980 800000  2871    84
-665100 800000  2837    83
-654590 800000  2803    86
-644400 800000  2769    86
-633590 800000  2735    84
-623710 800000  2700    86
-613500 800000  2666    85
-602690 800000  2632    86
-592810 800000  2597    84
-582600 800000  2563    86
-572400 800000  2529    85
-561590 800000  2494    84
-551710 800000  2460    86
-540890 800000  2426    85
-531010 800000  2391    86
-520800 800000  2357    84
-509990 800000  2323    86
-500110 800000  2288    85
-489900 800000  2254    84
-479090 800000  2220    86
-469210 800000  2185    85
-459000 800000  2151    86
-448190 800000  2117    84
-438310 800000  2082    86
-428100 800000  2048    85
-417290 800000  2013    84
-407410 800000  1979    86
-397200 800000  1945    86
-386390 800000  1911    86
-376510 800000  1876    84
-366300 800000  1842    86
-355490 800000  1807    85
-345610 800000  1773    84
-334790 800000  1739    86
-324910 800000  1704    86
-314700 800000  1670    87
-304500 800000  1636    84
-293690 800000  1601    87
-283810 800000  1567    85
-272990 800000  1533    84
-263110 800000  1498    86
-252290 800000  1464    87
-242410 800000  1429    86
-232200 800000  1395    84
-221390 800000  1361    86
-211510 800000  1326    85
-201300 800000  1292    84
-190490 800000  1258    86
-180610 800000  1223    86
-170400 800000  1189    86
-159590 800000  1154    84
-149710 800000  1120    86
-139500 800000  1086    85
-128690 800000  1051    84
-118810 800000  1017    86
-107990 800000  983     87
-98110 800000   949     87
-87900 800000   915     84
-77090 800000   880     87
-67210 800000   846     85
-56390 800000   811     84
-46510 800000   777     86
-36300 800000   743     87
-25490 800000   708     87
-15610 800000   674     84
-4790 383200    640     86
4480 358400     610     61
2200 176000     603     17
-1020 81600     604     17
-1210 96800     604     17
20 50000        602     17
-620 50000      602     17
-600 50000      602     17
-600 50000      602     17
10 50000        601     17
-920 73600      602     17
20 50000        601     17
-310 50000      601     17
310 0   600     17
-10 0   600     17
0 0     600     17
0 0     600     17
0 0     600     17
0 0     600     17
0 0     600     17
0 0     600     17
0 0     600     17
0 0     600     17
4794000 800000  600     17
2722940 800000  613     42
2808060 800000  636     67
2798120 800000  666     76
2788270 800000  698     82
2777470 800000  732     86
2767300 800000  766     85
2757100 800000  801     87
2746390 800000  836     85
2735900 800000  870     86
2725400 800000  905     86
2714900 800000  940     86
2704400 800000  975     85
2694410 800000  1010    86
2683690 800000  1045    87
2673200 800000  1080    86
2662700 800000  1115    88
2652200 800000  1150    86
2641700 800000  1185    87
2631200 800000  1220    85
2620700 800000  1255    88
2610200 800000  1290    86
2599700 800000  1324    86
2589200 800000  1359    85
2578700 800000  1394    86
2568710 800000  1429    87
2557990 800000  1464    86
2547500 800000  1499    88
2537000 800000  1534    86
2526500 800000  1569    88
2516000 800000  1604    85
2505500 800000  1639    88
2495000 800000  1674    86
2484500 800000  1709    86
2474000 800000  1744    85
2463500 800000  1779    86
2453000 800000  1814    88
2442500 800000  1849    86
2432000 800000  1884    88
2421500 800000  1919    86
2411000 800000  1954    88
2400500 800000  1989    85
2390000 800000  2023    88
2379500 800000  2058    86
2369000 800000  2093    86
2359010 800000  2128    85
2348290 800000  2163    86
2337800 800000  2198    86
2327300 800000  2233    86
2316800 800000  2268    88
2306300 800000  2303    86
2295800 800000  2338    88
2285300 800000  2373    85
2274800 800000  2408    88
2264300 800000  2443    86
2253800 800000  2478    88
2243300 800000  2513    85
2232800 800000  2548    86
2222300 800000  2583    86
2211800 800000  2618    87
2201300 800000  2653    88
2190800 800000  2688    86
2180300 800000  2723    88
2169800 800000  2758    85
2159300 800000  2793    88
2148800 800000  2828    86
2138300 800000  2863    88
2127800 800000  2898    85
2117300 800000  2933    86
2106800 800000  2968    86
2096300 800000  3003    87
2085800 800000  3038    88
2075300 800000  3073    86
2064800 800000  3108    88
2054300 800000  3143    87
2043800 800000  3178    88
2033300 800000  3213    86
2022800 800000  3248    88
2012300 800000  3283    85
2001800 800000  3318    88
1991300 800000  3353    86
1980800 800000  3388    87
1970300 800000  3423    85
1959800 800000  3458    86
1949300 800000  3493    88
1938800 800000  3528    87
1928300 800000  3563    88
1917800 800000  3598    86
1907300 800000  3633    88
1896800 800000  3668    85
1885790 800000  3703    88
1876020 800000  3738    86
1865290 800000  3773    87
1854800 800000  3808    85
1844300 800000  3843    86
1833800 800000  3878    86
1822790 800000  3913    86
1813020 800000  3948    88
1802290 800000  3983    86
1791800 800000  4018    88
1781300 800000  4053    85
1770800 800000  4088    88
1759790 800000  4123    86
1750020 800000  4158    88
1739290 800000  4193    85
1728800 800000  4228    86
1718300 800000  4263    86
1707800 800000  4298    87
1696790 800000  4333    88
1686510 800000  4368    86
1676510 800000  4403    88
1665790 800000  4438    86
1655300 800000  4473    88
1644800 800000  4508    86
1634300 800000  4543    88
1623290 800000  4578    85
1613520 800000  4613    86
1602790 800000  4648    86
1592300 800000  4683    86
1581800 800000  4718    85
1571300 800000  4753    86
1560800 800000  4788    88
1550300 800000  4823    87
1539800 800000  4858    88
1529300 800000  4893    86
1518800 800000  4928    88
1508300 800000  4963    85
1497800 800000  4998    88
1487300 800000  5033    86
1476800 800000  5068    86
1466300 800000  5103    85
1455800 800000  5138    86
1445300 800000  5173    88
1434800 800000  5208    87
1424300 800000  5243    88
1413800 800000  5278    86
1403300 800000  5313    88
1392800 800000  5348    85
1382300 800000  5383    88
1371800 800000  5418    86
1361300 800000  5453    86
1350800 800000  5488    85
1340300 800000  5523    86
1329800 800000  5558    88
1319300 800000  5593    86
1308800 800000  5628    88
1298300 800000  5663    86
1287800 800000  5698    88
1277300 800000  5733    85
1266800 800000  5768    88
1256300 800000  5803    86
1245800 800000  5837    86
1235300 800000  5872    85
1224800 800000  5908    86
1214300 800000  5943    86
1203800 800000  5977    86
1193300 800000  6012    88
1182800 800000  6048    86
1172300 800000  6082    88
1161800 800000  6117    85
1151300 800000  6152    88
1140800 800000  6187    86
1130810 800000  6222    88
1120090 800000  6257    85
1109600 800000  6292    86
1099100 800000  6327    86
1088600 800000  6362    86
1078100 800000  6397    88
1067600 800000  6432    86
1057100 800000  6467    88
1046600 800000  6502    85
1036100 800000  6537    88
1025600 800000  6572    86
1015100 800000  6607    88
1004600 800000  6642    85
994100 800000   6676    86
983600 800000   6711    86
973100 800000   6746    86
962600 800000   6781    88
952100 800000   6816    86
941600 800000   6851    88
931100 800000   6886    85
920600 800000   6921    88
910100 800000   6956    86
899600 800000   6991    88
889100 800000   7026    85
878600 800000   7061    86
868100 800000   7096    86
857600 800000   7131    86
847100 800000   7166    88
836600 800000   7201    86
826100 800000   7236    88
815600 800000   7271    86
805100 800000   7306    88
794600 800000   7341    86
784100 800000   7376    88
773600 800000   7411    85
763100 800000   7446    86
752600 800000   7481    86
742100 800000   7516    86
