Prop0 Cog6 ok
JoyStick_demo
X       Y
131     128
131     128
131     128
131     128
131     128
131     128
131     128
131     128
131     128
255     128
255     128
255     128
255     78
255     0
148     0
12      0
9       0
9       0
9       0
11      0
120     255
131     255
255     226
131     0
0       128
143     255
255     128
255     0
255     0
38      0
0       0
0       128
118     255
200     255
255     128
255     0
0       0
0       128
131     128
255     128
255     128
255     128
255     128
131     128
0       128
0       128
0       128
131     128
131     128
131     128
82      0
36      0
35      0
35      0
126     0
131     129
131     255
135     255
131     128
131     128
131     128
Prop0 Cog6 ok
